UniqueCount	AmbigCount
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	5
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
1	0
0	0
1	0
0	0
1	0
4	1
0	1
0	0
4	0
0	1
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	4
1	0
0	0
2	0
2	0
0	4
0	2
0	0
4	0
0	0
0	2
2	0
1	0
2	1
0	1
0	0
0	0
5	2
0	0
3	0
1	0
0	0
0	3
0	0
2	0
5	0
3	0
0	0
0	0
0	3
0	3
4	1
0	0
0	0
5	0
0	0
0	1
0	0
4	0
0	0
3	0
0	1
0	1
0	0
1	0
0	0
0	0
0	0
0	4
0	1
0	0
3	0
0	0
1	1
0	3
0	0
0	0
0	0
0	8
1	3
0	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
5	0
0	0
8	0
0	0
2	1
0	1
1	0
4	1
3	0
3	0
2	0
0	0
4	0
3	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
1	0
0	0
4	1
0	1
1	0
0	0
4	0
0	0
2	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
2	0
0	0
2	0
2	0
0	0
0	0
0	0
0	1
1	0
1	0
0	0
0	0
0	0
0	0
0	0
6	0
0	1
0	1
3	0
0	0
11	0
5	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
4	6
0	2
4	6
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
5	3
0	0
0	0
0	0
0	31
0	31
13	31
0	2
0	0
0	0
0	0
0	0
0	0
45	739
0	735
11	96
21	4
0	66
6	37
0	93
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
286	676
81	673
0	0
0	1
0	1
0	1
17	26
8	26
0	0
0	0
0	4332
3052	4333
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
84	159
0	7
0	145
0	90
0	14
0	78
0	0
0	0
0	0
611	421
0	417
0	4
0	4
0	4
18	4
115	16
0	4
0	0
2	0
0	10
1	1
0	0
0	1
0	0
0	0
0	0
0	0
28	231
9	35
0	12
0	233
0	0
0	0
0	0
0	0
0	0
17	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
7	6
52	208
0	207
0	0
23	308
0	308
0	0
0	0
0	0
0	0
0	0
